Jop title,Company name,Location,Skills,links
Product Manager,Fatura ,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Product Management · Product · Management · Software · Information Technology (IT) · Software Development · Marketing · English · UX,https://wuzzuf.net/jobs/p/g3wvI4QRMX9F-Product-Manager-Fatura-Cairo-Egypt?o=128&l=sp&t=sj&a=data analysis|search-v3|hpb
Quality Control Manager,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full timeManager · 8 - 10 Yrs of Exp · quality · ISO · Analysis · Quality Control · Quality Assurance · MS Office · Engineering · business · ISO 9000 · Quality,https://wuzzuf.net/jobs/p/oEd4zxCv2zLC-Quality-Control-Manager-Cairo-Egypt?o=129&l=sp&t=sj&a=data analysis|search-v3|hpb
Inventory Control Accountant,Arabia Holding,"New Cairo, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · inventory · Inventory Control · Accounting · Construction · Real Estate · Finance · Logistics · Commerce · Financial Management · Financial Analysis,https://wuzzuf.net/jobs/p/xr4SzgMOE9ze-Inventory-Control-Accountant-Arabia-Holding-Cairo-Egypt?o=130&l=sp&t=sj&a=data analysis|search-v3|hpb
Accounts Payable Supervisor,Orientals for Urban Development,"Sheraton, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Accounts Payable · Accounting · Accounting Software · Communication skills · Accounting Office · Financial Analysis · Real Estate · Microsoft Office · Finance · Software,https://wuzzuf.net/jobs/p/3orNXu0LjFXs-Accounts-Payable-Supervisor-Orientals-for-Urban-Development-Cairo-Egypt?o=131&l=sp&t=sj&a=data analysis|search-v3|hpb
General Ledger & Reporting Supervisor,Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Full timeManager · 8+ Yrs of Exp · Accounting · General Ledger · SAP · ERP · excel · Finance · Financial Analysis · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/bgPMpHGtZ1bY-General-Ledger-Reporting-Supervisor-Hikma-Pharmaceuticals-Giza-Egypt?o=132&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Universal Advanced Solutions,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · males_only · Startup · Accounting · Finance · Financial Management · Financial Analysis · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/qbhShE0zKqZ9-Accountant-Universal-Advanced-Solutions-Cairo-Egypt?o=133&l=sp&t=sj&a=data analysis|search-v3|hpb
Treasury Accountant,Egyptian Starch and Glucose  Manufacturing Company,"Musturad, Qalubia, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · males_only · Accounting · Finance · Treasury · Financial · Financial Analysis · Computer Skills · Commerce · ERP · Accounting/Finance,https://wuzzuf.net/jobs/p/krzjNycLmmAK-Treasury-Accountant-Egyptian-Starch-and-Glucose-Manufacturing-Company-Qalubia-Egypt?o=134&l=sp&t=sj&a=data analysis|search-v3|hpb
Credit Assessment Officer,Capiter,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · credit · Banking · Finance · Credit Risk · credit assessment · Financial Analysis · Microsoft Excel · Commerce · Drafting Contracts · Arabic,https://wuzzuf.net/jobs/p/0d2NlIDFPFQY-Credit-Assessment-Officer-Capiter-Cairo-Egypt?o=135&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Accountants,Aqarmap.com,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Accounting · Finance · Double Click Software · Expenses · Petty Cash · Business Administration · Financial Analysis · Financial Management · English · Tax,https://wuzzuf.net/jobs/p/uw8CclUdissf-Junior-Accountants-Aqarmap-com-Cairo-Egypt?o=136&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Integrated Engineering,"6th of October, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Accounting · Analysis · Accounting Standards · Auditing · Tax · Financial · Accounting/Finance,https://wuzzuf.net/jobs/p/VsbMZsH8CShy-Accountant-Integrated-Engineering-Giza-Egypt?o=137&l=sp&t=sj&a=data analysis|search-v3|hpb
Information And Technology Business Analyst - Giza,Express Forces,"Mohandessin, Giza, Egypt ",Full timeWork from homeManager · 10+ Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · Business Analysis · Analysis · IT · Computer Engineering · Communication skills · business · Management,https://wuzzuf.net/jobs/p/RqxQuLUTLjDB-Information-And-Technology-Business-Analyst---Giza-Express-Forces-Giza-Egypt?o=138&l=sp&t=sj&a=data analysis|search-v3|hpb
Financial Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full timeManager · 10+ Yrs of Exp · Finance · Financial Analysis · Accounting · Financial Management · English · Accounting/Finance,https://wuzzuf.net/jobs/p/flbXM0nkZVpC-Financial-Manager-Cairo-Egypt?o=139&l=sp&t=sj&a=data analysis|search-v3|hpb
Cost Accounting Section Head,Orientals for Urban Development,"Cairo, Egypt ",Full timeManager · 15 - 20 Yrs of Exp · Cost · Financial Analysis · Financial Management · Finance · Accounting · Accounts · MS Office · Cost Accounting · Accounting/Finance,https://wuzzuf.net/jobs/p/Z56RJa4HIrJ5-Cost-Accounting-Section-Head-Orientals-for-Urban-Development-Cairo-Egypt?o=140&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Beverlyhills,"Shorouk City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Accounting · Finance · Financial Analysis · Hospitals · Financial Management · Accounting/Finance,https://wuzzuf.net/jobs/p/ILurupwqV2du-Accountant-Beverlyhills-Cairo-Egypt?o=141&l=sp&t=sj&a=data analysis|search-v3|hpb
Cost Accountant,Orientals for Urban Development,"Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Cost · Financial Analysis · Finance · Accounting · Accounts · MS Office · Cost Accounting · Accounting/Finance,https://wuzzuf.net/jobs/p/t5OOfggLkfFL-Cost-Accountant-Orientals-for-Urban-Development-Cairo-Egypt?o=142&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,AGBL Egypt,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Accounting · Finance · Reporting · Communication skills · Financial Analysis · Financial Management · Accounting/Finance,https://wuzzuf.net/jobs/p/rt0EhsBWS4nt-Accountant-AGBL-Egypt-Cairo-Egypt?o=143&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Engineer,Paymob Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Computer Engineering · Engineering · Software · Design · Java · Programming · AWS · Hadoop,https://wuzzuf.net/jobs/p/9apSU4G202rS-Data-Engineer-Paymob-Solutions-Cairo-Egypt?o=144&l=sp&t=sj&a=data analysis|search-v3|hpb
Marketing Coordinator,Confidential -,"Basatin, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · marketing coordinator · Marketing · Social Media · Market Analysis · Marketing Assistant · Marketing/PR/Advertising,https://wuzzuf.net/jobs/p/qlTSCL7TTDVY-Marketing-Coordinator-Cairo-Egypt?o=145&l=sp&t=sj&a=data analysis|search-v3|hpb
Solutions Specialist,Breadfast,"Maadi, Cairo, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Communication · Business · English · Data · Skills · Management · Computer Science · Solutions · Customer Solutions · Business Solutions,https://wuzzuf.net/jobs/p/iiZ1xFOGafDn-Solutions-Specialist-Breadfast-Cairo-Egypt?o=146&l=sp&t=sj&a=data analysis|search-v3|hpb
Internal Performance Audit Officer,Nile University,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 10+ Yrs of Exp · Auditing · Audit · Certified Internal Auditor · Accounting · Financial Analysis · Finance · English · Internal Performance Audit · Accounting/Finance,https://wuzzuf.net/jobs/p/PvNDsEkVCbbM-Internal-Performance-Audit-Officer-Nile-University-Giza-Egypt?o=147&l=sp&t=sj&a=data analysis|search-v3|hpb
IT Manager,Exception Patisserie,"6th of October, Giza, Egypt ",Full timeManager · 12+ Yrs of Exp · males_only · IT · Project Management · Information Technology (IT) · Computer Science · Software · Analysis · Computer Hardware · Technical · Restaurants · Hospitality,https://wuzzuf.net/jobs/p/tK1dS92Fwjho-IT-Manager-Exception-Patisserie-Giza-Egypt?o=148&l=sp&t=sj&a=data analysis|search-v3|hpb
Fresh Accountant,Confidential -,"Heliopolis, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Accounting · business · Communication skills · Finance · English · accountant · Financial Analysis · Accounting/Finance,https://wuzzuf.net/jobs/p/E6qctVDbjkUY-Fresh-Accountant-Cairo-Egypt?o=149&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Accountant,Confidential -,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Accounting · Finance · Double Click Software · Expenses · Petty Cash · Business Administration · Financial Analysis · Financial Management · English · Tax,https://wuzzuf.net/jobs/p/c9cNtmwEUfuf-Junior-Accountant-Cairo-Egypt?o=150&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Max Muscle,"New Cairo, Cairo, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · males_only · Finance · Accounting · Financial Analysis · Financial Management · ERP · IFRS · financial · ERP System · Financial Accounting · Odoo,https://wuzzuf.net/jobs/p/EWAipTEWPCKj-Accountant-Max-Muscle-Cairo-Egypt?o=151&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior AR Accountant,United Distributors,"Garden City, Cairo, Egypt ",Full timeExperienced · 5 - 7 Yrs of Exp · Accounting · Finance · Communication skills · Financial Analysis · Financial Management · Microsoft Office · Commerce · Accounting/Finance,https://wuzzuf.net/jobs/p/jR9HzmgXnyk9-Senior-AR-Accountant-United-Distributors-Cairo-Egypt?o=152&l=sp&t=sj&a=data analysis|search-v3|hpb
Accounting Manager,Safwa Real Estate,"New Cairo, Cairo, Egypt ",Full timeManager · 2 - 5 Yrs of Exp · Accounting · Accounting Manager · Accounting principles · Manager · Finance · Financial Management · Bookkeeping · Financial Analysis · Accounting/Finance,https://wuzzuf.net/jobs/p/SmoXitTiigiE-Accounting-Manager-Safwa-Real-Estate-Cairo-Egypt?o=153&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Business Analyst,Caelum Egypt,"Dokki, Giza, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Business · Software · Analytical · Engineering · System Analysis · Data,https://wuzzuf.net/jobs/p/totpHkTN703V-Senior-Business-Analyst-Caelum-Egypt-Giza-Egypt?o=154&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Accountant,Confidential -,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Accounting · Financial Analysis · Auditing · Finance · Analytical · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/d6qbzZtLlRD7-Junior-Accountant-Cairo-Egypt?o=155&l=sp&t=sj&a=data analysis|search-v3|hpb
Financial Analyst,National Paints,"Obour City, Cairo, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Accounting · Analysis · Financial Analysis · Financial · Finance · CPA · CMA · Commerce · SAP · Reporting,https://wuzzuf.net/jobs/p/j7FDTb2gMMab-Financial-Analyst-National-Paints-Cairo-Egypt?o=156&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Accountant,Confidential -,"New Cairo, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · males_preferred · accountant · Accounting · Accounting Software · Commerce · Construction · Finance · Financial Analysis · ERP · Accounting/Finance · Banking,https://wuzzuf.net/jobs/p/BXOtrVilaP18-Junior-Accountant-Cairo-Egypt?o=157&l=sp&t=sj&a=data analysis|search-v3|hpb
Chief Accountant,Bingo Global,"New Nozha, Cairo, Egypt ",Full timeManager · 4 - 7 Yrs of Exp · Accounting Manager · Accounting principles · Accounting · Bookkeeping · Financial Management · Financial Analysis · MS Office · Accounting/Finance,https://wuzzuf.net/jobs/p/Ypl0KKEAXhbd-Chief-Accountant-Bingo-Global-Cairo-Egypt?o=158&l=sp&t=sj&a=data analysis|search-v3|hpb
Loyalty Program Senior Executive,Carina Wear,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · loyalty programs · Marketing · Analysis · Social Media · Digital Media Sales · Marketing/PR/Advertising · Project/Program Management · Analyst/Research,https://wuzzuf.net/jobs/p/yFQ4pTeLCZxU-Loyalty-Program-Senior-Executive-Carina-Wear-Cairo-Egypt?o=159&l=sp&t=sj&a=data analysis|search-v3|hpb
Deputy Marketing Manager For a Big Hospital in KSA,Andalusia Group,"Jeddah, Saudi Arabia ",Full timeManager · 5 - 7 Yrs of Exp · Business Analysis · Strategy · Analysis · Marketing · Market Research · Pharmacy · Pharma · Pharmaceutical · Physician · Physics,https://wuzzuf.net/jobs/p/TKrwhyh0ZmqV-Deputy-Marketing-Manager-For-a-Big-Hospital-in-KSA-Andalusia-Group-Jeddah-Saudi-Arabia?o=160&l=sp&t=sj&a=data analysis|search-v3|hpb
ERP Application Consultant,Rednet It Services,"Cairo, Egypt ",Full timeExperienced · 3 - 7 Yrs of Exp · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · C#.Net · Software Development · Software Engineering · SQL · Computer Science · Implementation,https://wuzzuf.net/jobs/p/J4tq2Njno90d-ERP-Application-Consultant-Rednet-It-Services-Cairo-Egypt?o=161&l=sp&t=sj&a=data analysis|search-v3|hpb
Internal Auditor,FinBi Finance & Banking Consultants International,"Dokki, Giza, Egypt ",Full timeExperienced · 3 - 10 Yrs of Exp · Accounting · Auditing · MBA · Financial Analysis · MS Office · Finance · Internal Audting · Accounting/Finance,https://wuzzuf.net/jobs/p/XIlCsd1lckcF-Internal-Auditor-FinBi-Finance-Banking-Consultants-International-Giza-Egypt?o=162&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Accountant,Nour Eldin Elsherif for Trading vehicles,"Katameya, Cairo, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Cashier · Microsoft Office · Finance · Accounting · English · Financial Reporting · Analytical · Financial Analysis · Financial · MS Office,https://wuzzuf.net/jobs/p/BaD6N7krNJLo-Junior-Accountant-Nour-Eldin-Elsherif-for-Trading-vehicles-Cairo-Egypt?o=163&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Software Engineer (Java),Emaratech,"Maadi, Cairo, Egypt ",Full timeExperienced · 4 - 8 Yrs of Exp · Java · Java EE · Spring · Hibernate · Data Structures · Microservices · Computer Science · Information Technology (IT) · MVC · JSON,https://wuzzuf.net/jobs/p/hRHM3n4b9Y3r-Senior-Software-Engineer-Java-Emaratech-Cairo-Egypt?o=164&l=sp&t=sj&a=data analysis|search-v3|hpb
Internal Auditor,Altayar recruitment,"Riyadh, Saudi Arabia ",Full timeExperienced · 3 - 5 Yrs of Exp · Audit · Accounting · Internal Audit · Computer Skills · Accounting Software · Microsoft Office · Financial Analysis · Finance · Auditing · Accounting/Finance,https://wuzzuf.net/jobs/p/NHuGtxyWqaYh-Internal-Auditor-Altayar-recruitment-Riyadh-Saudi-Arabia?o=165&l=sp&t=sj&a=data analysis|search-v3|hpb
General Accountant,Centro Global Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Finance · Accounting · Financial Analysis · Financial Management · Communication · Analysis · MS Excel · English · MS · Accounting Software,https://wuzzuf.net/jobs/p/yCwUtiR81J8C-General-Accountant-Centro-Global-Solutions-Cairo-Egypt?o=166&l=sp&t=sj&a=data analysis|search-v3|hpb
Retail Supply Chain Specialist (Sales Analyst),MINISO LIFE,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Sales · Sales Analyst · Microsoft Excel · Supply Chain · Logistics · English · Inventory · Analysis · Data Analysis · Logistics/Supply Chain,https://wuzzuf.net/jobs/p/owwGPVswcMBG-Retail-Supply-Chain-Specialist-Sales-Analyst-MINISO-LIFE-Cairo-Egypt?o=167&l=sp&t=sj&a=data analysis|search-v3|hpb
Cost Accountant,Confidential -,"Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Cost Accountant · Accounting · Cost Accounting · Financial Analysis · Finance · accountant · Cost · English · Manufacturing · Microsoft 365,https://wuzzuf.net/jobs/p/dtIVQoVMDDph-Cost-Accountant-Cairo-Egypt?o=168&l=sp&t=sj&a=data analysis|search-v3|hpb
Digital Media Buyer,DE.CI Cairo,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Analysis · Creative · Digital Marketing · E-Marketing · E-Commerce · Marketing · SEM · SEO · Social Media · Media Buying,https://wuzzuf.net/jobs/p/quETq6FSfjeZ-Digital-Media-Buyer-DE-CI-Cairo-Cairo-Egypt?o=169&l=sp&t=sj&a=data analysis|search-v3|hpb
Market Analyst,A-part Auto,"Katameya, Cairo, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Analyst · Business Analysis · Management · Marketing · Microsoft Office · Research · Market Research · Education · English · Computer Skills,https://wuzzuf.net/jobs/p/bkJJ06UCDQ9c-Market-Analyst-A-part-Auto-Cairo-Egypt?o=170&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Application Consultant,HITS Technologies ,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Technical Support · Customer Care · Information Technology (IT) · Installation · Technical Analysis · Commerce · Application Support · Customer Service · Customer Support · Computer Science,https://wuzzuf.net/jobs/p/8ERTt1j5DTQc-Senior-Application-Consultant-HITS-Technologies-Cairo-Egypt?o=171&l=sp&t=sj&a=data analysis|search-v3|hpb
Law Accountant,White Gold Logistics,"Sheraton, Cairo, Egypt ",Full timeManager · 5 - 15 Yrs of Exp · Tax Law · Account Management · Accounting Reports · Cost Accounting · Accounting · Accounting Software · Audit · Finance · Financial Analysis · Financial,https://wuzzuf.net/jobs/p/TY8BAfkMvWxo-Law-Accountant-White-Gold-Logistics-Cairo-Egypt?o=172&l=sp&t=sj&a=data analysis|search-v3|hpb
Quality Assurance Officer,AXA Egypt,"Cairo, Egypt ",Full timeEntry Level · 0 - 3 Yrs of Exp · Quality Assurance · Quality Control · Process · Testing · Data · Quality · IT/Software Development · Quality · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/N292ZfHFF2L6-Quality-Assurance-Officer-AXA-Egypt-Cairo-Egypt?o=173&l=sp&t=sj&a=data analysis|search-v3|hpb
AR Accountant,Confidential -,"Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Accounting · Finance · Accouting Management · English · Courier · General Ledger · pivot · MS Excel · Financial Analysis · Accounting/Finance,https://wuzzuf.net/jobs/p/k4H0KnW7hlU7-AR-Accountant-Cairo-Egypt?o=174&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Confidential -,"Mohandessin, Giza, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · Accounting · Finance · Microsoft Office · ERP · Commerce · Financial Management · Computer Skills · Microsoft Word · Microsoft Excel · Financial Analysis,https://wuzzuf.net/jobs/p/PI0YEVzHzHJ4-Accountant-Giza-Egypt?o=175&l=sp&t=sj&a=data analysis|search-v3|hpb
Internal Auditor,MG Developments,"Nasr City, Cairo, Egypt ",Full timeExperienced · 6 - 10 Yrs of Exp · Accounting · Auditing standards · Finance · Industrial field · Auditing · Financial Analysis · Commerce · Accounting/Finance · Quality,https://wuzzuf.net/jobs/p/V3ogzb5HhPql-Internal-Auditor-MG-Developments-Cairo-Egypt?o=176&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,WEmng,"Giza, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Accounting · Finance · English · Financial Analysis · Financial Management · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/jkGEoeRXFnRi-Accountant-WEmng-Giza-Egypt?o=177&l=sp&t=sj&a=data analysis|search-v3|hpb
Operations Manager - Alexandria,Khalil Pharmacies,"Moharam Bek, Alexandria, Egypt ",Full timeManager · 10 - 15 Yrs of Exp · Operations · Pharmaceutical · Communication · Planning · Microsoft Office · Management · Analysis · Leadership · MBA · Pharmacy,https://wuzzuf.net/jobs/p/3kPoKhjUnJlc-Operations-Manager---Alexandria-Khalil-Pharmacies-Alexandria-Egypt?o=178&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Confidential -,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5 - 8 Yrs of Exp · males_only · Finance · Accounting · Financial Analysis · Financial Management · English · Commerce · Accounting/Finance,https://wuzzuf.net/jobs/p/KuUl9u93s6HX-Accountant-Cairo-Egypt?o=179&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Construction Accountant,BuildIn,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Finance · Accounting · Microsoft Office · Construction · Financial Analysis · Financial · Financial Reporting · MS Office · Computer Skills · Accounting/Finance,https://wuzzuf.net/jobs/p/BfElPP4nUIvX-Junior-Construction-Accountant-BuildIn-Cairo-Egypt?o=180&l=sp&t=sj&a=data analysis|search-v3|hpb
AR Accountant,Taager,"Maadi, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Accounting · AR · Finance · Commerce · E-Commerce · Financial Analysis · Bookkeeping · Computer Skills · Accounting/Finance,https://wuzzuf.net/jobs/p/VT0ZG2kGBrTm-AR-Accountant-Taager-Cairo-Egypt?o=181&l=sp&t=sj&a=data analysis|search-v3|hpb
BI Senior Analyst,Etisalat Misr,"Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Computer Science · Business Analysis · Computer Engineering · Analysis · Engineering · Information Technology (IT) · Implementation · SQL · BTEQ · IT/Software Development,https://wuzzuf.net/jobs/p/mx2r2leiXQUl-BI-Senior-Analyst-Etisalat-Misr-Cairo-Egypt?o=182&l=sp&t=sj&a=data analysis|search-v3|hpb
Finance Manager,Confidential -,"Cairo, Egypt ",Full timeManager · 10+ Yrs of Exp · Accounting · Financial Management · Financial Reporting · Financial · Financial Analysis · Reporting · Communication skills · Finance · MBA · CMA,https://wuzzuf.net/jobs/p/9aV4Ew6pOD8C-Finance-Manager-Cairo-Egypt?o=183&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Sales Analyst,Confidential -,"Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Business Administration · Finance · Commerce · Accounting · Sales Analysis · Analysis · Research · Data Analysis · Sales Skills · Analytical,https://wuzzuf.net/jobs/p/SZeniAwS6xJy-Senior-Sales-Analyst-Cairo-Egypt?o=184&l=sp&t=sj&a=data analysis|search-v3|hpb
Financial Control Analyst,Fawry Banking & Payment Technology Services,"Smart Village, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · ERP System · Financial Management · Financial Analysis · Accounting · Microsoft Office · Financial Control · Analysis · Financial · Finance · Accounting/Finance,https://wuzzuf.net/jobs/p/NBGrD0rCbjh9-Financial-Control-Analyst-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=185&l=sp&t=sj&a=data analysis|search-v3|hpb
Sales Engineering Manager,Masry for Engineering & trading,"Nasr City, Cairo, Egypt ",Full timeManager · 7 - 10 Yrs of Exp · Communication skills · Engineering · English · Management · Mechanical Engineering · Firefighting · Pumps · HVAC Systems · Sales Target · Team Leadership,https://wuzzuf.net/jobs/p/vialBK9KwXEY-Sales-Engineering-Manager-Masry-for-Engineering-trading-Cairo-Egypt?o=186&l=sp&t=sj&a=data analysis|search-v3|hpb
General Accountant,DewanSoft,"Haram, Giza, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Finance · Accounting · ERP System · Microsoft Office · Financial Analysis · Financial Management · English · ERP · Accounting/Finance,https://wuzzuf.net/jobs/p/UJqNsE3Jy4ty-General-Accountant-DewanSoft-Giza-Egypt?o=187&l=sp&t=sj&a=data analysis|search-v3|hpb
Junior Accountant,Bingo Global,"New Nozha, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Accounting · Finance · ACA · ACCA · CIMA · Financial Analysis · Financial Reporting · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/ptcAw6Putgpo-Junior-Accountant-Bingo-Global-Cairo-Egypt?o=188&l=sp&t=sj&a=data analysis|search-v3|hpb
Site Accountant,NMDC,"Cairo, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Construction · Finance · ERP · Financial Analysis · CA · CPA · ACCA · Accounting · Commerce · Accounting/Finance,https://wuzzuf.net/jobs/p/9dEA6C7o8wpX-Site-Accountant-NMDC-Cairo-Egypt?o=189&l=sp&t=sj&a=data analysis|search-v3|hpb
HR Head,Andalusia Group,"Smouha, Alexandria, Egypt ",Full timeManager · 7 - 10 Yrs of Exp · Medical · Pharmacy · Pharmaceutical · Veterinary · MBA · Business Development · Business Analysis · Business Planning · Dentistry · Healthcare Marketing,https://wuzzuf.net/jobs/p/2u0lx6o7zwk0-HR-Head-Andalusia-Group-Alexandria-Egypt?o=190&l=sp&t=sj&a=data analysis|search-v3|hpb
Assistant Accountant,Amideast,"Dokki, Giza, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Accounting · Administration · Finance · Financial Analysis · Microsoft Office · English · Accounting/Finance,https://wuzzuf.net/jobs/p/X6OPlDeFpLgU-Assistant-Accountant-Amideast-Giza-Egypt?o=191&l=sp&t=sj&a=data analysis|search-v3|hpb
Project Accountant,CARE Egypt,"Cairo, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Accounting · Finance · NGO · Financial Analysis · Financial Management · English · Arabic · Accounting/Finance,https://wuzzuf.net/jobs/p/SJmUv5QvXiiG-Project-Accountant-CARE-Egypt-Cairo-Egypt?o=192&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Deglatech Advanced Technologies,"Mohandessin, Giza, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Accounting · Financial Analysis · Finance · General Ledger · Accounting Software · Financial Management · Microsoft Office · Excel · Financial · IPC,https://wuzzuf.net/jobs/p/PVemkDCmZqna-Accountant-Deglatech-Advanced-Technologies-Giza-Egypt?o=193&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Cost Accountant,Powerline,"10th of Ramadan City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Cost · Cost Accounting · Accounting · Financial Management · Finance · Financial Analysis · English · ERP · Microsoft Office · Computer Skills,https://wuzzuf.net/jobs/p/uK7Ppm6qht71-Senior-Cost-Accountant-Powerline-Cairo-Egypt?o=194&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Accountant - Automotive,Confidential -,"Katameya, Cairo, Egypt ",Full timeExperienced · 5 - 7 Yrs of Exp · Accounting · GAAP · MS Office · Financial · Financial Analysis · Financial Reporting · CPA · Finance · Financial Management · Accounting/Finance,https://wuzzuf.net/jobs/p/CS6oKmsvJsHr-Senior-Accountant---Automotive-Cairo-Egypt?o=195&l=sp&t=sj&a=data analysis|search-v3|hpb
Internal Auditor,Excel Systems  ,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 6+ Yrs of Exp · Accounting · analytical · Auditing · auditor · Business Administration · Commerce · Computer Skills · Finance · English · Financial Analysis,https://wuzzuf.net/jobs/p/GtVlNjP1bZul-Internal-Auditor-Excel-Systems-Giza-Egypt?o=196&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant Costing Manager,Smart Solutions,"New Cairo, Cairo, Egypt ",Full timeManager · 10 - 12 Yrs of Exp · Cost Control · Accounting · CMA · Construction · Finance · Financial Analysis · Financial Management · Accounting/Finance,https://wuzzuf.net/jobs/p/jPiIYZnasO3l-Accountant-Costing-Manager-Smart-Solutions-Cairo-Egypt?o=197&l=sp&t=sj&a=data analysis|search-v3|hpb
