Jop title,Company name,Location,Skills,links
Data Engineer (Dbt/Looker/Snowflake),360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeEntry Level · 1 - 5 Yrs of Exp · Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI,https://wuzzuf.net/jobs/p/2DuWqwDosnyk-Data-Engineer-DbtLookerSnowflake-360Imaging-Giza-Egypt?o=14&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Scientist,360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI,https://wuzzuf.net/jobs/p/8zc9LyCXF5gi-Data-Scientist-360Imaging-Giza-Egypt?o=15&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Analyst,Olam SVI,"6th of October, Giza, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Data Analysis · MS Excel · Analysis · Computer Science · Information Technology (IT) · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/LPoxKGuPz1q6-Data-Analyst-Olam-SVI-Giza-Egypt?o=16&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Business Analyst,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",Full timeExperienced · 5 - 7 Yrs of Exp · Business Analysis · Data Analyst · Analysis · Information Technology (IT) · Computer Science · Computer Engineering · Microsoft Office · Statistics · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/gTBCwKZBnqLl-Data-Business-Analyst-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=17&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Entry & Analyst,Aqrab,"Dokki, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Data Entry · Data · Microsoft Office · Analysis · Administration · Administration · Operations/Management · Analyst/Research,https://wuzzuf.net/jobs/p/rXHY4fmBTkgV-Data-Entry-Analyst-Aqrab-Giza-Egypt?o=18&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Analyst,SAAL Invest ,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Analysis · Data Analysis · Computer Science · Information Technology (IT) · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/fX3cMEWkWgbf-Data-Analyst-SAAL-Invest-Cairo-Egypt?o=19&l=sp&t=sj&a=data analysis|search-v3|hpb
Reporting and Analysis Specialist,Partner & More,"Cairo, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · Analysis · analytical · Financial Analysis · MS Office · Management · Accounting · Communication · Finance · SAP · office,https://wuzzuf.net/jobs/p/xKLo4xc9DTFi-Reporting-and-Analysis-Specialist-Partner-More-Cairo-Egypt?o=20&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Analyst,Andalusia Group,"Maadi, Cairo, Egypt ",Full timeEntry Level · 0 - 1 Yrs of Exp · Analysis · Data Analysis · Medical · Medical/Healthcare · Analyst/Research,https://wuzzuf.net/jobs/p/nV8tzZwPnucV-Data-Analyst-Andalusia-Group-Cairo-Egypt?o=21&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Data Analyst,360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI,https://wuzzuf.net/jobs/p/SAP89CJNFjqc-Senior-Data-Analyst-360Imaging-Giza-Egypt?o=22&l=sp&t=sj&a=data analysis|search-v3|hpb
Big Data Engineer,Silicon Egypt,"Nasr City, Cairo, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Big Data · AWS · Cloud · Engineering · Python · JavaScript · Machine Learning · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/0jqNf93X8pdg-Big-Data-Engineer-Silicon-Egypt-Cairo-Egypt?o=23&l=sp&t=sj&a=data analysis|search-v3|hpb
